and [ənd]	и
act [ækt] v	действовать; n дело, поступок, акт
America [ə'merɪkə] n	Америка
arm [ɑ:m] n	рука (от кисти до плеча)
bat [bæt] n	летучая мышь
bite [baɪt] v	кусать; n укус
blood [blʌd] n	кровь
busy ['bɪzɪ] а	занятой; деятельный; трудолюбивый
catch [kæʧ] v	ловить, поймать
course [kɔ:s] n	курс, ход
dark [dɑ:k] а	темный
in the dark	в темноте
deal [di:l] n; a great deal	много
down [daʊn] adv	вниз; prep вниз по
drink [drɪŋk] v	пить
ear [ɪə] n	ухо
enough [ɪ'nʌf] adv	достаточно
even ['i:vn] adv	даже
evening ['i:vnɪŋ] n	вечер
eye [aɪ] n	глаз
feel [fi:l] v	чувствовать
fruit [fru:t] n	фpyкт(ы); плoд(ы)
hard [hɑ:d] а	твердый
harm [hɑ:m] n	вред; v вредить
head [hed] n	голова; глава; v возглавлять
help [help] v	помогать; n помощь
hole [həʊl] n	дыра
ill [ɪl] а	больной
inch [ɪnʧ] n	дюйм
insect ['ɪnsekt] n	насекомое
join [ʤɔɪn] v	coeдинять(cя), пpиcoeдинять(cя); вступать
leg [leg] n	нога (от ступни до бедра)
like [lаɪk] adv	подобно, как; а похожий
long [lɒŋ] а	длинный; adv долго
mouse [mаʊs] n	мышь
mice [mаɪs]	мн. ч. мыши
narrow ['nærəʊ] а	узкий
none [nʌn] pron, adv	никто, ничто, ни один, нисколько
pass [pɑ:s] v	проходить; передавать
skin [skɪn] n	кожа
sleep [sli:p] v	спать; n сон
so [səʊ] adv	так, таким образом, настолько
then [ðen] adv	тогда, затем, потом
though [ðəʊ] cj	хотя
throat [θrəʊt] n	горло
together [tə'ɡəðə] adv	вместе
tooth [tu:θ] n	зуб
teeth [ti:θ]	мн. ч. зубы
touch [tʌʧ] v	трогать, касаться
true [tru:] а	верный, правильный
wing [wɪŋ] n	крыло
adopt [ə'dɒpt] v	принимать, усваивать
after ['ɑ:ftə] prep	после, зa; adv потом
against [ə'gemst] prep	против
battle [bætl] n	битва
become [bɪ'kʌm]. Past Ind. became [bɪ'keɪm] v	стать, становиться
before [bɪ'fɔ:] prep	перед, до; adv раньше, впереди
between [bɪ'twi:n] prep	между
Bible [baɪbl] n	Библия
bring [brɪŋ] Past Ind. brought [brɔ:t] v	приносить
Christian ['krɪsʧən] а	христианский
complete [kəm'pli:t] а	полный; v завершать
conquer ['kɒŋkə] v	завоевывать, побеждать
conquest ['kɒŋkwest] n	завоевание
difficult ['dɪfɪkəlt] а	трудный
faith [feɪθ] n	вера
father ['fɑ:ðə] n	отец
fight [fait] Past Ind. fought [fɔ:t] v	драться, сражаться, бороться
finally ['fаɪnəlɪ] adv	наконец
first [fɜ:st] а	первый
France [frɑ:ns] n	Франция
